unixTime,bid,ask,tradeSize
1499562661,243.68,243.69,5
1499562662,243.68,243.69,5
1499562663,243.68,243.69,5
1499562664,243.68,243.69,5
1499562665,243.68,243.69,5
1499562666,243.68,243.69,5
1499562667,243.68,243.69,5
1499562668,243.68,243.69,5
1499562669,243.69,243.77,5
1499562670,243.7,243.86,5
1499562671,243.7,243.78,5
1499562672,243.7,243.78,5
1499562673,243.7,243.78,5
1499562674,243.7,243.78,5
1499562675,243.7,243.77,5
1499562676,243.7,243.77,5
1499562677,243.71,243.77,5
1499562678,243.71,243.77,5
1499562679,243.71,243.78,5
1499562680,243.71,243.78,5
1499562681,243.71,243.78,5
1499562682,243.72,243.77,5
1499562683,243.72,243.77,5
1499562684,243.72,243.77,5
1499562685,243.72,243.77,5
1499562686,243.72,243.77,5
1499562687,243.72,243.77,5
1499562688,243.73,243.77,5
1499562689,243.73,243.77,5
1499562690,243.73,243.77,5
1499562691,243.73,243.77,5
1499562692,243.73,243.77,5
1499562693,243.73,243.78,5
1499562695,243.74,243.78,5
1499562696,243.74,243.78,5
1499562697,243.74,243.78,5
1499562698,243.74,243.78,5
1499562699,243.75,243.78,5
1499562700,243.75,243.78,5
1499562701,243.75,243.78,5
1499562702,243.75,243.78,5
1499562703,243.75,243.78,5
1499562704,243.75,243.78,5
1499562705,243.75,243.77,5
1499562706,243.76,243.77,5
1499562707,243.76,243.77,5
1499562708,243.76,243.77,5
1499562709,243.76,243.77,5
1499562710,243.76,243.77,5
1499562711,243.76,243.77,5
1499562712,243.76,243.77,5
1499562713,243.76,243.77,5
1499562714,243.76,243.77,5
1499562715,243.76,243.77,5
1499562716,243.76,243.78,5
1499562717,243.76,243.78,5
1499562718,243.77,243.78,5
1499562719,243.77,243.78,5
1499562720,243.77,243.78,5
1499562721,243.77,243.78,5
1499562722,243.77,243.78,5
1499562723,243.77,243.78,5
1499562724,243.77,243.78,5
1499562725,243.77,243.78,5
1499562726,243.77,243.78,5
1499562727,243.77,243.78,5
1499562728,243.77,243.78,5
1499562729,243.77,243.78,5
1499562730,243.77,243.78,5
1499562731,243.77,243.78,5
1499562732,243.77,243.78,5
1499562733,243.78,243.79,5
1499562734,243.78,243.79,5
1499562735,243.78,243.79,5
1499562736,243.78,243.79,5
1499562737,243.78,243.79,5
1499562738,243.78,243.79,5
1499562739,243.78,243.79,5
1499562740,243.78,243.79,5
1499562741,243.78,243.79,5
1499562742,243.78,243.79,5
1499562743,243.78,243.79,5
1499562744,243.78,243.79,5
1499562745,243.78,243.79,5
1499562746,243.78,243.79,5
1499562747,243.78,243.79,5
1499562748,243.79,243.91,5
1499562749,243.79,243.8,5
1499562750,243.79,243.8,5
1499562751,243.79,243.8,5
1499562752,243.79,243.8,5
1499562753,243.79,243.8,5
1499562754,243.79,243.8,5
1499562755,243.79,243.8,5
1499562756,243.79,243.8,5
1499562757,243.79,243.8,5
1499562758,243.79,243.8,5
1499562759,243.79,243.8,5
1499562760,243.79,243.8,5
1499562761,243.79,243.8,5
1499562762,243.79,243.8,5
1499562763,243.79,243.8,5
1499562764,243.79,243.8,5
1499562765,243.79,243.8,5
1499562766,243.79,243.8,5
1499562767,243.79,243.8297829,5
1499562768,243.79,243.827301,5
1499562769,243.79,243.827301,5
1499562771,243.79,243.827301,5
1499562772,243.79,243.827301,5
1499562773,243.8,243.91,5
1499562774,243.8,243.91,5
1499562775,243.8,243.91,5
1499562776,243.8,243.9,5
1499562777,243.8,243.9,5
1499562778,243.8,243.86,5
1499562779,243.8,243.86,5
1499562780,243.81,243.86,5
1499562781,243.81,243.86,5
1499562782,243.81,243.86,5
1499562783,243.81,243.8749638,5
1499562784,243.81,243.8749638,5
1499562785,243.81,243.86,5
1499562786,243.81,243.86,5
1499562787,243.82,243.86,5
1499562788,243.82,243.8824096,5
1499562789,243.82,243.8724819,5
1499562790,243.83,243.8824096,5
1499562791,243.83,243.86,5
1499562792,243.83,243.86,5
1499562793,243.83,243.86,5
1499562794,243.83,243.86,5
1499562795,243.83,243.86,5
1499562796,243.84,243.8799276,5
1499562797,243.84,243.8824096,5
1499562798,243.84,243.8824096,5
1499562799,243.84,243.8748915,5
1499562800,243.87,243.91,5
1499562801,243.87,243.91,5
1499562802,243.88,243.91,5
1499562803,243.88,243.91,5
1499562804,243.88,243.91,5
1499562805,243.88,243.91,5
1499562806,243.88,243.92,5
1499562807,243.89,243.92,5
1499562808,243.89,243.92,5
1499562809,243.89,243.91,5
1499562810,243.89,243.91,5
1499562811,243.89,243.91,5
1499562812,243.89,243.91,5
1499562813,243.9,243.91,5
1499562814,243.9,243.91,5
1499562815,243.9,243.91,5
1499562816,243.9,243.92,5
1499562817,243.9,243.91,5
1499562818,243.9,243.91,5
1499562819,243.9,243.91,5
1499562820,243.9,243.91,5
1499562821,243.9,243.92,5
1499562822,243.9,243.92,5
1499562823,243.9,243.92,5
1499562824,243.9,243.92,5
1499562825,243.9,243.92,5
